rank,feature,tp_mean,fn_mean,cohens_d,abs_cohens_d
60,feature_13,-129.4383385870307,-137.48505957419124,-0.39549779818645653,0.39549779818645653
61,feature_251,1223.8182936757098,1272.7228615585584,0.39474368680882116,0.39474368680882116
62,feature_254,15.426914814038907,15.912023830931512,0.39379744548335366,0.39379744548335366
63,feature_115,160.9106259206366,152.39946339970456,-0.3930719221717096,0.3930719221717096
64,feature_336,0.1884680315829172,0.1833993635993994,-0.3923336257064481,0.3923336257064481
65,feature_69,-0.43888721830610317,-0.44951127844738614,-0.39179365473961114,0.39179365473961114
66,feature_197,39.564869392785326,37.6338476953384,-0.3908531925976121,0.3908531925976121
67,feature_447,1212.774484834226,1274.9429632509248,0.3904362272303821,0.3904362272303821
68,feature_440,-5.362204953067415,-5.687226252995721,-0.3903663639503482,0.3903663639503482
69,feature_497,-1.9542287169631316,-1.9770855261123743,-0.3902383532879613,0.3902383532879613
70,feature_195,1854.6682038688502,1816.669179442959,-0.3898592244179408,0.3898592244179408
71,feature_467,-4.001292353851517,-4.208792820697045,-0.388950652035771,0.388950652035771
72,feature_46,2982.113472701874,2957.551547452261,-0.3886584388095341,0.3886584388095341
73,feature_216,90.37368290406512,91.68095099137766,0.3879278974637852,0.3879278974637852
74,feature_218,14.37120655852078,13.853208774201299,-0.3866274357120773,0.3866274357120773
75,feature_399,2217.7842269429284,2112.46395594068,-0.3859827957649576,0.3859827957649576
76,feature_205,8.291290919878742,7.949627460417017,-0.38593541853064517,0.38593541853064517
77,feature_299,3.3545484441903195,3.400425480405045,0.3855210071446277,0.3855210071446277
78,feature_17,0.1096084142417901,0.11613256333251647,0.38538416898996264,0.38538416898996264
79,feature_166,35.35951708792818,34.63573983620005,-0.3831209853596779,0.3831209853596779
80,feature_370,1.611026219621335,1.5381195143801765,-0.3830414279264544,0.3830414279264544
81,feature_47,33.21089042713419,33.854699316600005,0.383001754461343,0.383001754461343
82,feature_136,44.3403383145719,42.391650767624306,-0.38281490996173356,0.38281490996173356
83,feature_325,0.3720242444669888,0.37826593364277084,0.3815555615864529,0.3815555615864529
84,feature_308,230.14652031122642,237.46768315019963,0.38003650646211934,0.38003650646211934
85,feature_153,825.1394966308054,800.7175179556973,-0.37933419917850286,0.37933419917850286
86,feature_291,32.498745027790704,34.10886030418935,0.37844460001143304,0.37844460001143304
87,feature_277,23.188643321728144,24.069271108367143,0.37622161546599575,0.37622161546599575
88,feature_89,1036.4447297844986,1089.4803460630953,0.37233990829686714,0.37233990829686714
89,feature_368,27.95240744212602,26.847907040683417,-0.3720781281351547,0.3720781281351547
90,feature_365,7.0171920679585575,6.699715269461784,-0.3717377540473937,0.3717377540473937
91,feature_97,0.6729022803039882,0.7013985429413001,0.3706306713672783,0.3706306713672783
92,feature_389,-421.1522755444728,-424.76584363190653,-0.36650275938129917,0.36650275938129917
93,feature_446,31.433566611190024,30.085337438355776,-0.36648971244754674,0.36648971244754674
94,feature_309,3.27652261310383,3.4237393069876254,0.36633134357840214,0.36633134357840214
95,feature_293,-147.45718555189063,-155.08991347446243,-0.3661147270047563,0.3661147270047563
96,feature_125,3.6047645988206956,3.711728910406649,0.36572094087603635,0.36572094087603635
97,feature_262,1570.0562167728401,1623.0813571610022,0.3654703005785767,0.3654703005785767
98,feature_270,-2508.6126819429537,-2397.0023571288866,0.3635786487615556,0.3635786487615556
99,feature_358,-119.5351293642644,-125.68856449202605,-0.3634471998107839,0.3634471998107839
100,feature_3,0.12415964584115446,0.11848648744595026,-0.36336335386375074,0.36336335386375074
101,feature_183,-194.43676802863314,-204.21095705033017,-0.3620211829235978,0.3620211829235978
102,feature_37,0.7011550845421686,0.7190193878610354,0.361773724790766,0.361773724790766
103,feature_235,50.7017961765185,52.810264806369425,0.3615490493256711,0.3615490493256711
104,feature_147,17.47409473037986,18.156549441202046,0.35974480978875156,0.35974480978875156
105,feature_22,23.506755369722082,23.93084670701728,0.35804590574744133,0.35804590574744133
106,feature_258,410.5909994375744,421.4095182006889,0.3569747266710813,0.3569747266710813
107,feature_425,-68.22940653684616,-65.75444164102878,0.355839623837968,0.355839623837968
108,feature_473,92.69685695148995,91.62158351690822,-0.35582954016822416,0.35582954016822416
109,feature_412,-10.236484750890153,-10.780451749955024,-0.35369687319209303,0.35369687319209303
110,feature_381,-19.42918549372282,-19.81848487336858,-0.3536784007881574,0.3536784007881574
111,feature_246,135.78813022223062,133.665777659551,-0.35330202977863356,0.35330202977863356
112,feature_286,28.63775990298896,28.987328731036964,0.35325630946436054,0.35325630946436054
113,feature_146,4.277743788175049,4.076553613940787,-0.35324946800109375,0.35324946800109375
114,feature_221,0.30947931573290155,0.3132206908443847,0.35321293978393764,0.35321293978393764
115,feature_100,30.365108983893872,32.04332277053572,0.35262693422502245,0.35262693422502245
116,feature_362,3560.2611652508713,3454.997311759501,-0.3512749128475949,0.3512749128475949
117,feature_332,25.319334823659716,25.78096987221065,0.35001375546879676,0.35001375546879676
118,feature_130,0.3428827879479329,0.3552466920816726,0.34943057739346683,0.34943057739346683
119,feature_275,-214.24827116789132,-222.09513564398557,-0.3488652418349609,0.3488652418349609
120,feature_480,-1.4907012479300652,-1.5734457746168806,-0.34812496458999054,0.34812496458999054
121,feature_29,-2873.9169145227975,-2919.0414178538363,-0.3452126314656333,0.3452126314656333
122,feature_471,0.6294781574295005,0.6070005564948091,-0.3447615036123605,0.3447615036123605
123,feature_455,1.53470360470353,1.4653594569041628,-0.3397867497695295,0.3397867497695295
124,feature_414,88.1476883060055,89.87452034379636,0.33495097115910155,0.33495097115910155
125,feature_411,0.23447180450309346,0.24348240361673856,0.3343748314018712,0.3343748314018712
126,feature_152,1.0632033149332503,1.0876380741949756,0.3338961161031095,0.3338961161031095
127,feature_349,93.87129187176572,97.49825369076706,0.3337254720851327,0.3337254720851327
128,feature_448,0.12136811369334354,0.12704488258813804,0.3334912508632834,0.3334912508632834
129,feature_8,3.639571034188486,3.5079041714268184,-0.3334908706891248,0.3334908706891248
130,feature_193,0.23626078549999996,0.22786249342731676,-0.3326356487370069,0.3326356487370069
131,feature_401,853.7766563622758,824.1578840949655,-0.33225874119808746,0.33225874119808746
132,feature_264,557.9562708497707,583.3011555615551,0.33176583127940606,0.33176583127940606
133,feature_237,-0.14496479070507198,-0.1465076478846989,-0.33038672085646703,0.33038672085646703
134,feature_85,-1.9790372819313018,-2.069410978973688,-0.3303859056822642,0.3303859056822642
135,feature_263,2.1721663643384894,2.277133420880037,0.32794686085308594,0.32794686085308594
136,feature_105,128.50544411188093,130.51285714977277,0.32547257348537995,0.32547257348537995
137,feature_379,-402.0277781930377,-410.6140512024807,-0.3247608475909588,0.3247608475909588
138,feature_421,1382.301168291292,1337.1087968357315,-0.32399564877300063,0.32399564877300063
139,feature_315,0.3142210331857694,0.318512532665531,0.32313618132330135,0.32313618132330135
140,feature_81,-988.5199980832105,-946.6207139492601,0.3224720142345418,0.3224720142345418
141,feature_283,7.259516862690688,7.027243097951712,-0.32173923460523124,0.32173923460523124
142,feature_350,748.6551015842001,724.2241745199415,-0.3213287654478976,0.3213287654478976
143,feature_127,-88.66087124381087,-89.62123793444427,-0.32120406580224775,0.32120406580224775
144,feature_294,851.4001105628732,829.7148621382535,-0.320816147746976,0.320816147746976
145,feature_367,-2.646767001178005,-2.6919509256928356,-0.32076571986294183,0.32076571986294183
146,feature_58,-145.60480916699194,-150.11849093237942,-0.3202652416721392,0.3202652416721392
147,feature_441,177.70769431560635,175.62219180852742,-0.32007969517006163,0.32007969517006163
148,feature_28,0.4695673875351046,0.486441502627471,0.31936317256498603,0.31936317256498603
149,feature_191,3782.975179340405,3625.5759830744264,-0.31874964717227294,0.31874964717227294
150,feature_56,1124.1593295978694,1089.363806722004,-0.3174842371781821,0.3174842371781821
151,feature_482,-0.1113222682531371,-0.10938151275191682,0.31696032412528863,0.31696032412528863
152,feature_88,10.971767629393396,11.38845163749626,0.31691018011709454,0.31691018011709454
153,feature_449,0.4112587142479481,0.3984234564319029,-0.31595788952390064,0.31595788952390064
154,feature_380,2177.190342136894,2135.0506139857143,-0.31471975752718556,0.31471975752718556
155,feature_403,5.066714798992913,5.268368042640848,0.31462556530076047,0.31462556530076047
156,feature_260,-481.32197382336966,-491.0943383685234,-0.31314214927804435,0.31314214927804435
157,feature_442,12.307942129697421,12.51338991453551,0.3121876721637395,0.3121876721637395
158,feature_222,12.992672426622228,13.186338593014758,0.3115962772189283,0.3115962772189283
159,feature_345,-482.3022529710713,-501.3600454599691,-0.3115924672263869,0.3115924672263869
160,feature_395,63.56095235232931,66.6279542556115,0.3111852563548049,0.3111852563548049
161,feature_312,5.124743139267235,5.19166214241194,0.3108179560267034,0.3108179560267034
162,feature_335,2831.572611257709,2721.039906197699,-0.3097201746230307,0.3097201746230307
163,feature_500,1.8584496154311143,1.7847600242718111,-0.3088277912015376,0.3088277912015376
164,feature_138,-1.7043178330816724,-1.6679325764679855,0.3083926022353145,0.3083926022353145
165,feature_456,1099.321568963289,1125.556522091991,0.30743296320132163,0.30743296320132163
166,feature_341,674.2126029152442,697.2008651644555,0.30681910771377824,0.30681910771377824
167,feature_186,577.5306189166206,561.1220980271343,-0.306327215237438,0.306327215237438
168,feature_443,0.14445004050625776,0.15049608988156254,0.30604970828886524,0.30604970828886524
169,feature_188,-278.98209147174185,-269.3111271671434,0.3057489166950217,0.3057489166950217
170,feature_40,5036.569176723601,4959.4228614481835,-0.30546829843636,0.30546829843636
171,feature_373,68.66912891590965,70.55472977319064,0.305361687172064,0.305361687172064
172,feature_65,0.3609663474521765,0.3557466418762734,-0.3052258027064944,0.3052258027064944
173,feature_486,5195.01271170581,4982.312107967083,-0.3051834651526948,0.3051834651526948
174,feature_280,9.739579385732434,9.47736482568816,-0.3044038520681157,0.3044038520681157
175,feature_271,1.4917324057354153,1.5117228499164874,0.30282690942035373,0.30282690942035373
176,feature_431,0.3207239301557773,0.31259208431245394,-0.3019895282231489,0.3019895282231489
