rank,feature,tn_mean,fp_mean,cohens_d,abs_cohens_d
94,feature_328,-586.1030301862161,-574.7453440187951,0.3530860489930883,0.3530860489930883
95,feature_4,7.905276951460523,7.449201518443261,-0.3530390353146317,0.3530390353146317
96,feature_431,0.3128295934341885,0.3211903231906012,0.3526371069392801,0.3526371069392801
97,feature_143,3911.177309898277,3758.7457167010652,-0.35229848459782076,0.35229848459782076
98,feature_352,4.292100279090599,4.350499082876429,0.3514850734209695,0.3514850734209695
99,feature_229,4624.920387618155,4855.30317227643,0.3510552652919796,0.3510552652919796
100,feature_434,27.269352082875148,25.85476020852019,-0.35066748788260843,0.35066748788260843
101,feature_300,1.0587256302551082,1.0286779971456264,-0.34923946765204084,0.34923946765204084
102,feature_417,56.02284696676891,57.74304060202792,0.34781568399179613,0.34781568399179613
103,feature_170,-29.07200441406466,-30.347355755064672,-0.34755328085961634,0.34755328085961634
104,feature_128,66.83743780437551,69.74036179869047,0.346286324246414,0.346286324246414
105,feature_488,0.206595820806478,0.19738735871054813,-0.34371257018836354,0.34371257018836354
106,feature_169,3.2558435390532865,3.0978831760738204,-0.3428519712804803,0.3428519712804803
107,feature_354,-0.3958852225438212,-0.4019308466599329,-0.3421940872753471,0.3421940872753471
108,feature_110,4206.792579860625,4046.040850081366,-0.3420896731324913,0.3420896731324913
109,feature_85,-2.0993779923799094,-2.0050450786931906,0.34101458575063687,0.34101458575063687
110,feature_37,0.723640889979273,0.7402444433038072,0.33995776695707863,0.33995776695707863
111,feature_270,-2392.0744385195458,-2491.5835609956093,-0.33749838256869996,0.33749838256869996
112,feature_172,-80.93450769761063,-78.29671945352175,0.3367042339665483,0.3367042339665483
113,feature_124,67.162603422896,66.70916159419853,-0.3365712244022944,0.3365712244022944
114,feature_353,73.70029007410118,71.33675267009242,-0.3358159280885856,0.3358159280885856
115,feature_177,2.564286240068434,2.684189416167733,0.33571011656192445,0.33571011656192445
116,feature_303,0.6826946039241429,0.6653957051088909,-0.3348897496884492,0.3348897496884492
117,feature_456,1127.115432400818,1099.1781365310478,-0.3347285675572965,0.3347285675572965
118,feature_209,3078.52196505625,2939.134449011812,-0.3333576094048955,0.3333576094048955
119,feature_365,6.621814642713716,6.900305551037758,0.33251638399463257,0.33251638399463257
120,feature_351,-1.0445195320777885,-1.0373790344431673,0.33137177624182695,0.33137177624182695
121,feature_275,-223.70021977371366,-216.12122453933003,0.3297983810245543,0.3297983810245543
122,feature_249,190.51107053817546,199.2279565768857,0.32785188137445265,0.32785188137445265
123,feature_277,24.280605818681074,23.516267289737765,-0.3237083800044248,0.3237083800044248
124,feature_179,0.14455991343316268,0.1505023138464153,0.3227437516744453,0.3227437516744453
125,feature_266,0.12943843292102433,0.13088217357159068,0.3223353458582362,0.3223353458582362
126,feature_290,15.707214733811641,15.316746169168079,-0.3211171798313515,0.3211171798313515
127,feature_125,3.704260400897648,3.8060806626926116,0.3208935770778491,0.3208935770778491
128,feature_464,20.960018350675142,21.869893771344532,0.3206559413764301,0.3206559413764301
129,feature_444,288.7282764511333,283.6769518249442,-0.3183205303689082,0.3183205303689082
130,feature_20,106.37757498092975,111.10913768636154,0.3176570353742446,0.3176570353742446
131,feature_194,-0.34134777841929825,-0.35549205841079984,-0.31572132386266777,0.31572132386266777
132,feature_306,0.9734332079442973,0.9826580775410759,0.3125175028536374,0.3125175028536374
133,feature_204,0.24213087576816092,0.23595589156239485,-0.3111055922130209,0.3111055922130209
134,feature_214,0.12683832309672427,0.129303010421043,0.3108800888711774,0.3108800888711774
135,feature_211,3.783535210554031,3.8927072135090253,0.3099776052526472,0.3099776052526472
136,feature_157,0.24244374784656955,0.2343762865192156,-0.30733608651330196,0.30733608651330196
137,feature_355,0.4852060169910002,0.46725078326171404,-0.307004468941603,0.307004468941603
138,feature_75,8.280728912552751,8.368736061355365,0.30555315895532525,0.30555315895532525
139,feature_377,-40.94035470591796,-39.65794075680511,0.3051130199611124,0.3051130199611124
140,feature_403,5.335929452271795,5.104842050931271,-0.30476537193053027,0.30476537193053027
141,feature_287,40.9572481215974,39.99174747850865,-0.30437306896972466,0.30437306896972466
142,feature_272,22.279368891191396,21.963670154078226,-0.3025476821917703,0.3025476821917703
143,feature_326,183.37040754466037,185.54758632715433,0.30213678232590063,0.30213678232590063
144,feature_134,0.30871269724880857,0.30374638600836046,-0.30123620831514075,0.30123620831514075
145,feature_286,29.05877482795785,28.75345284683546,-0.2993576370254806,0.2993576370254806
146,feature_318,82.41778851255721,79.82229043670094,-0.2977260205715472,0.2977260205715472
147,feature_498,3154.0897071018067,3223.0396877742373,0.29737053852342,0.29737053852342
148,feature_28,0.48983845012859717,0.47459329370424347,-0.2962866100993561,0.2962866100993561
149,feature_108,873.6369024567791,858.5116098488326,-0.29572531637907284,0.29572531637907284
150,feature_186,560.3947852312126,577.9580604958475,0.29497804783975506,0.29497804783975506
151,feature_261,148.17083386056143,146.4811056069266,-0.2936071836697419,0.2936071836697419
152,feature_151,1012.8779765955009,985.6436537232613,-0.2933034227184095,0.2933034227184095
153,feature_140,0.19735390027428903,0.19160976963434936,-0.2930369145471328,0.2930369145471328
154,feature_475,404.7118251430758,398.2650417304849,-0.29130534935671926,0.29130534935671926
155,feature_378,507.5613607571389,482.90225039556134,-0.29077654124818975,0.29077654124818975
156,feature_312,5.201634910942257,5.139341792948957,-0.28875952754701,0.28875952754701
157,feature_129,0.7587287894042303,0.7306147652512717,-0.28801435270667924,0.28801435270667924
158,feature_319,3432.4520656702207,3306.815342078804,-0.2848555062892895,0.2848555062892895
159,feature_251,1281.1717001308762,1246.5005927661257,-0.284518000812452,0.284518000812452
160,feature_430,-52.12967266667733,-52.444789774989964,-0.2842112707368787,0.2842112707368787
161,feature_253,204.9507115253182,211.72903082993957,0.2841688060683109,0.2841688060683109
162,feature_341,699.7945113333831,678.1294357385044,-0.2835081821700169,0.2835081821700169
163,feature_185,332.06693155119,343.38356906814516,0.28348617451410035,0.28348617451410035
164,feature_208,-32.32801487040868,-31.64016483281003,0.2830261123868682,0.2830261123868682
165,feature_331,438.80264858882225,457.38883815696073,0.2816060223179344,0.2816060223179344
166,feature_265,-7.604065479401907,-7.65765072267953,-0.28147675924520205,0.28147675924520205
167,feature_103,5.4119651887297024,5.523847417970567,0.28054460642143003,0.28054460642143003
168,feature_459,6.214204064153042,5.981956185423482,-0.28040591975328033,0.28040591975328033
169,feature_184,11.347841388977722,11.415042699111702,0.27965866617079366,0.27965866617079366
170,feature_30,1.3110986113921017,1.2820067609720718,-0.2795630795403383,0.2795630795403383
171,feature_80,3447.9249413511347,3405.0157966955708,-0.2784195084333503,0.2784195084333503
172,feature_490,867.5776919873668,883.9515183452357,0.27547195005051195,0.27547195005051195
173,feature_244,221.2560453814063,218.5922458018392,-0.2737095342118274,0.2737095342118274
174,feature_448,0.12794534392518134,0.12361044230774287,-0.27281554025230786,0.27281554025230786
175,feature_230,0.37356933204115944,0.3818793874993222,0.271951484066989,0.271951484066989
176,feature_436,351.8377487454087,349.4473716180224,-0.2709344485968676,0.2709344485968676
177,feature_390,0.17314382850384855,0.16904306819154838,-0.26923272574459167,0.26923272574459167
178,feature_92,815.308321652143,802.29779694835,-0.2669027222879168,0.2669027222879168
179,feature_15,6.093583193911306,5.925200450226785,-0.26448528194853066,0.26448528194853066
180,feature_141,58.77339180780418,59.67194331530416,0.26383738351026254,0.26383738351026254
181,feature_491,162.17973311048118,167.10823580386935,0.2622607101579498,0.2622607101579498
182,feature_68,0.17421223382048273,0.17594406384037933,0.2615687291460384,0.2615687291460384
183,feature_111,28.148480038733737,27.739219080537683,-0.2613614175107043,0.2613614175107043
184,feature_416,3.0394458046546378,3.1237047209718347,0.26122987709562645,0.26122987709562645
185,feature_87,1606.6789294309422,1597.193823079294,-0.26042795232922344,0.26042795232922344
186,feature_60,7.696073521180167,7.802446093076218,0.2602966514823812,0.2602966514823812
187,feature_375,49.86663527958573,49.39757427751177,-0.2596134905363576,0.2596134905363576
188,feature_100,32.45597194053288,33.495526950074115,0.25818136527389624,0.25818136527389624
189,feature_369,0.8679725547542442,0.8589957329547723,-0.25464940775695477,0.25464940775695477
190,feature_336,0.183074475167493,0.18653258440853512,0.2539959957927849,0.2539959957927849
191,feature_225,0.18607087653795834,0.1926902231629967,0.2529737012969475,0.2529737012969475
192,feature_236,-209.99273126243074,-202.3547471146212,0.24986140892676467,0.24986140892676467
193,feature_379,-412.7113938017321,-405.8803975341207,0.2493615216005701,0.2493615216005701
194,feature_449,0.3976533167630694,0.3886551825006177,-0.24316614968614178,0.24316614968614178
195,feature_35,-0.35922330126984253,-0.36771227881069474,-0.24221422270969648,0.24221422270969648
196,feature_399,2096.8644804154524,2028.9660874033423,-0.24069017709700094,0.24069017709700094
197,feature_1,4.7864561513998645,4.8987047405644315,0.24044345579990037,0.24044345579990037
198,feature_407,1.0500876941637638,1.013276173518759,-0.23976320419542885,0.23976320419542885
199,feature_278,-87.85039379840285,-86.66012570034081,0.23676298744980967,0.23676298744980967
200,feature_90,219.32207308056968,222.30092445610103,0.23662498674205393,0.23662498674205393
201,feature_462,8.670895474025636,8.385220023962397,-0.23620201135137597,0.23620201135137597
202,feature_163,-76.59144877947867,-78.22218808117957,-0.23503629241475163,0.23503629241475163
203,feature_484,6.381866407172742,6.4272085538960075,0.23418070583993042,0.23418070583993042
204,feature_21,10.40125304503251,10.613709253638747,0.23148938400712576,0.23148938400712576
205,feature_263,2.318510681179511,2.2436825684994997,-0.2302682910001026,0.2302682910001026
206,feature_291,34.34745144550506,33.442584672448895,-0.23022561238049466,0.23022561238049466
207,feature_19,0.2050238341126622,0.20394855731315556,-0.227790517345237,0.227790517345237
208,feature_420,1.0799268381217233,1.0935452335471931,0.22557400992180268,0.22557400992180268
209,feature_135,0.6780398318882578,0.6640403281062325,-0.22488081909497307,0.22488081909497307
210,feature_380,2123.9004923610623,2156.06057275219,0.22280627998174657,0.22280627998174657
211,feature_349,98.23208324931844,95.77629201399118,-0.2223602659998555,0.2223602659998555
212,feature_127,-89.79870064537381,-89.16312008963882,0.22089095583721038,0.22089095583721038
